mode, phrase, top_cut, decay, title, link, score
mean_pooling, warm jacket, 10, 1, Mens Rupal Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-mens-rupal-jacket-A1114304.html, 94.43637089064252, "Excellent jacket"
mean_pooling, warm jacket, 10, 1, Mens Cornice III Jacket, https://www.cotswoldoutdoor.com/p/berghaus-mens-cornice-iii-jacket-A1113261.html, 82.26851980916445, "Excellent jacket"
mean_pooling, warm jacket, 10, 1, Men's Evolve II Triclimate Jacket, https://www.cotswoldoutdoor.com/p/the-north-face-men-s-evolve-ii-triclimate-jacket-A1312159.html, 79.59525126801014, "Great jacket"
mean_pooling, warm jacket, 10, 1, Mens Nimble Hoodie, https://www.cotswoldoutdoor.com/p/the-north-face-mens-nimble-hoodie-A1512946.html, 73.22745034357855, "Good light jacket"
mean_pooling, warm jacket, 10, 1, Womens Manaslu Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-womens-manaslu-jacket-A4116182.html, 70.00870406592772, "Great jacket"
mean_pooling, warm jacket, 10, 1, Men's Vapour-rise Alpine Jacket, https://www.cotswoldoutdoor.com/p/rab-men-s-vapour-rise-alpine-jacket-A1512937.html, 65.68491509175247, "nice jacket"
mean_pooling, warm jacket, 10, 1, Mens Paclite 2.0 Jacket, https://www.cotswoldoutdoor.com/p/berghaus-mens-paclite-2-0-jacket-A1114369.html, 61.964158045828064, "Great fitting lightweight jacket"
mean_pooling, warm jacket, 10, 1, Kiwi Pro Winter Lined Trousers, https://www.cotswoldoutdoor.com/p/craghoppers-kiwi-pro-winter-lined-trousers-A4B14837.html, 60.786971034103196, "Warm legs"
mean_pooling, warm jacket, 10, 1, Men's Paradiso Jacket, https://www.cotswoldoutdoor.com/p/the-north-face-men-s-paradiso-jacket-A1114165.html, 60.64042123348707, "Nice light jacket"
mean_pooling, warm jacket, 10, 1, Mens Respond GTX Shoe, https://www.cotswoldoutdoor.com/p/meindl-mens-respond-gtx-shoe-B1222278.html, 60.19253421762076, "comfortable shoe"
mean_pooling, comfy mountain shoes, 10, 1, Mens Vortex GTX Shoe, https://www.cotswoldoutdoor.com/p/scarpa-mens-vortex-gtx-shoe-B1222300.html, 73.58268058937267, "comfy shoes"
mean_pooling, comfy mountain shoes, 10, 1, Womens Green Lake Zip Off Trousers, https://www.cotswoldoutdoor.com/p/the-north-face-womens-green-lake-zip-off-trousers-A4B24051.html, 53.03756485909907, "Comfy walking trousers"
mean_pooling, comfy mountain shoes, 10, 1, Womens Cyrus GTX Shoe, https://www.cotswoldoutdoor.com/p/scarpa-womens-cyrus-gtx-shoe-B2222319.html, 52.32744842280117, "Smart compact shoe"
mean_pooling, comfy mountain shoes, 10, 1, Mens Respond GTX Shoe, https://www.cotswoldoutdoor.com/p/meindl-mens-respond-gtx-shoe-B1222278.html, 51.26071085057484, "comfortable shoe"
mean_pooling, comfy mountain shoes, 10, 1, Womens Siren Sport Gore-Tex XCR Shoe, https://www.cotswoldoutdoor.com/p/merrell-womens-siren-sport-gore-tex-xcr-shoe-B2222091.html, 51.23155531841676, "Sturdy waterproof comfortable shoe"
mean_pooling, comfy mountain shoes, 10, 1, Mens All Season Glove, https://www.cotswoldoutdoor.com/p/sealskinz-mens-all-season-glove-A3214700.html, 50.14737169810063, "Nice comfy glove"
mean_pooling, comfy mountain shoes, 10, 1, Womens Merino Hiker Sock, https://www.cotswoldoutdoor.com/p/bridgedale-womens-merino-hiker-sock-B6114101.html, 49.80816749260321, "Very comfy sock"
