mode, phrase, top_cut, decay, title, link, score
mean_pooling, warm jacket, 10, 1, Mens Rupal Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-mens-rupal-jacket-A1114304.html, 92.67391817418111, "Excellent jacket"
mean_pooling, warm jacket, 10, 1, Green Footbed, https://www.cotswoldoutdoor.com/p/superfeet-green-footbed-B9224012.html, 80.224714312875, "Good fit"
mean_pooling, warm jacket, 10, 1, Mens Stratos Jacket, https://www.cotswoldoutdoor.com/p/the-north-face-mens-stratos-jacket-A1113511.html, 79.0416090927591, "Good light  wait jacket"
mean_pooling, warm jacket, 10, 1, Mens Cornice III Jacket, https://www.cotswoldoutdoor.com/p/berghaus-mens-cornice-iii-jacket-A1113261.html, 78.40618102821695, "Excellent jacket"
mean_pooling, warm jacket, 10, 1, Womens Tokee Fleece Jacket, https://www.cotswoldoutdoor.com/p/jack-wolfskin-womens-tokee-fleece-jacket-A4725280.html, 74.97081634107178, "smashing jacket"
mean_pooling, warm jacket, 10, 1, Mens Grand Valley Softshell Jacket, https://www.cotswoldoutdoor.com/p/jack-wolfskin-mens-grand-valley-softshell-jacket-A1512952.html, 74.86984763923202, "Good fit"
mean_pooling, warm jacket, 10, 1, Men's Paradiso Jacket, https://www.cotswoldoutdoor.com/p/the-north-face-men-s-paradiso-jacket-A1114165.html, 73.31846515780487, "Good sturdy tidy jacket"
mean_pooling, warm jacket, 10, 1, Womens Nexus Jacket, https://www.cotswoldoutdoor.com/p/rab-womens-nexus-jacket-A4714530.html, 72.27957497238408, "Nice style"
mean_pooling, warm jacket, 10, 1, Ellipse Bowl, https://www.cotswoldoutdoor.com/p/lifeventure-ellipse-bowl-D3412086.html, 71.91954480120282, "lightweight, good shape"
mean_pooling, warm jacket, 10, 1, Mens Paclite 2.0 Jacket, https://www.cotswoldoutdoor.com/p/berghaus-mens-paclite-2-0-jacket-A1114369.html, 71.85014959573718, "A great light weight jacket"
mean_pooling, comfy mountain shoes, 10, 1, Womens Hedgehog Fastpack GTX Shoe, https://www.cotswoldoutdoor.com/p/the-north-face-womens-hedgehog-fastpack-gtx-shoe-B2222379.html, 73.98262621797832, "Really comfy"
