mode, phrase, top_cut, decay, title, link, score
mean_pooling, warm jacket, 10, 1, Mens Altus Jacket, https://www.cotswoldoutdoor.com/p/rab-mens-altus-jacket-A1214447.html, 83.05772521139677, "Great versatile jacket"
mean_pooling, warm jacket, 10, 1, Mens Rupal Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-mens-rupal-jacket-A1114304.html, 81.03698488398422, "Great jacket"
mean_pooling, warm jacket, 10, 1, Womens Lightline Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-womens-lightline-jacket-A4214410.html, 80.07639358834702, "Really warm"
mean_pooling, warm jacket, 10, 1, Mens Cornice III Jacket, https://www.cotswoldoutdoor.com/p/berghaus-mens-cornice-iii-jacket-A1113261.html, 77.56786961859402, "A smart and practical jacket."
mean_pooling, warm jacket, 10, 1, Mens Nebula Pro Jacket, https://www.cotswoldoutdoor.com/p/rab-mens-nebula-pro-jacket-A1214450.html, 74.99930905554466, "Warmth"
mean_pooling, warm jacket, 10, 1, Mens Nexus Jacket, https://www.cotswoldoutdoor.com/p/rab-mens-nexus-jacket-A1714188.html, 73.70512935805208, "Lightweight but warm."
mean_pooling, warm jacket, 10, 1, Switch Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-switch-jacket-A1724068.html, 72.41015257051002, "Light and comfy"
mean_pooling, warm jacket, 10, 1, Mens Stratos Jacket, https://www.cotswoldoutdoor.com/p/the-north-face-mens-stratos-jacket-A1113511.html, 71.8032278700296, "Warm and comfy"
mean_pooling, warm jacket, 10, 1, Mens Grand Valley Softshell Jacket, https://www.cotswoldoutdoor.com/p/jack-wolfskin-mens-grand-valley-softshell-jacket-A1512952.html, 68.57060664680111, "Good fit. Warm jacket. Looks great"
mean_pooling, warm jacket, 10, 1, Womens Microlight Alpine Jacket 2018, https://www.cotswoldoutdoor.com/p/rab-womens-microlight-alpine-jacket-2018-A4215739.html, 67.95638333249609, "Really comfortable, warm jacket"
mean_pooling, comfy mountain shoes, 10, 1, Mens Oakridge Waterproof Shoe, https://www.cotswoldoutdoor.com/p/keen-mens-oakridge-waterproof-shoe-B1212215.html, 94.7212353153741, "Good comfortable walking shoes ."
