mode, top_cut, ratio, title, link, score
mean_pooling, warm jacket, 1, 0.1, Switch Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-switch-jacket-A1724068.html, 0.051301459450928746
mean_pooling, warm jacket, 1, 0.1, Moreno Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-moreno-jacket-A4725227.html, 0.05920508510213057
mean_pooling, warm jacket, 1, 0.1, Mens Nexus Jacket, https://www.cotswoldoutdoor.com/p/rab-mens-nexus-jacket-A1714188.html, 0.06553786192946758
mean_pooling, warm jacket, 1, 0.1, Square Sunglasses, https://www.cotswoldoutdoor.com/p/bloc-square-sunglasses-E5114335.html, 0.06792834846345976
mean_pooling, warm jacket, 1, 0.1, T5 Cotton Duck Hat, https://www.cotswoldoutdoor.com/p/tilley-t5-cotton-duck-hat-A3412025.html, 0.06839314381418839
mean_pooling, warm jacket, 1, 0.1, Mens Cornice III Jacket, https://www.cotswoldoutdoor.com/p/berghaus-mens-cornice-iii-jacket-A1113261.html, 0.06862967279610845
mean_pooling, warm jacket, 1, 0.1, Mens Jackstraw Jacket, https://www.cotswoldoutdoor.com/p/the-north-face-mens-jackstraw-jacket-A1414145.html, 0.06983840982933934
mean_pooling, warm jacket, 1, 0.1, Mens Rupal Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-mens-rupal-jacket-A1114304.html, 0.07033017165078345
mean_pooling, warm jacket, 1, 0.1, Mens Hillwalker IA Jacket, https://www.cotswoldoutdoor.com/p/berghaus-mens-hillwalker-ia-jacket-A1114909.html, 0.07059890489620385
mean_pooling, warm jacket, 1, 0.1, Mens Original Pile Jacket, https://www.cotswoldoutdoor.com/p/rab-mens-original-pile-jacket-A1724236.html, 0.07086892625991616
mean_pooling, warm jacket, 1, 0.2, Switch Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-switch-jacket-A1724068.html, 0.05686978837166781
mean_pooling, warm jacket, 1, 0.2, Mens Cornice III Jacket, https://www.cotswoldoutdoor.com/p/berghaus-mens-cornice-iii-jacket-A1113261.html, 0.06492187006941255
mean_pooling, warm jacket, 1, 0.2, Moreno Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-moreno-jacket-A4725227.html, 0.0663273945102173
mean_pooling, warm jacket, 1, 0.2, Mens Rupal Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-mens-rupal-jacket-A1114304.html, 0.06643342460690145
mean_pooling, warm jacket, 1, 0.2, T5 Cotton Duck Hat, https://www.cotswoldoutdoor.com/p/tilley-t5-cotton-duck-hat-A3412025.html, 0.06909491950116345
mean_pooling, warm jacket, 1, 0.2, Square Sunglasses, https://www.cotswoldoutdoor.com/p/bloc-square-sunglasses-E5114335.html, 0.06932429634787576
mean_pooling, warm jacket, 1, 0.2, Mens Nexus Jacket, https://www.cotswoldoutdoor.com/p/rab-mens-nexus-jacket-A1714188.html, 0.07189853900052508
mean_pooling, warm jacket, 1, 0.2, Mens Stratos Jacket, https://www.cotswoldoutdoor.com/p/the-north-face-mens-stratos-jacket-A1113511.html, 0.07206440074698842
mean_pooling, warm jacket, 1, 0.2, Mens Hillwalker IA Jacket, https://www.cotswoldoutdoor.com/p/berghaus-mens-hillwalker-ia-jacket-A1114909.html, 0.07249345682058617
mean_pooling, warm jacket, 1, 0.2, Mens Original Pile Jacket, https://www.cotswoldoutdoor.com/p/rab-mens-original-pile-jacket-A1724236.html, 0.07257991029665203
mean_pooling, warm jacket, 1, 0.30000000000000004, Mens Cornice III Jacket, https://www.cotswoldoutdoor.com/p/berghaus-mens-cornice-iii-jacket-A1113261.html, 0.061214067342716644
mean_pooling, warm jacket, 1, 0.30000000000000004, Switch Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-switch-jacket-A1724068.html, 0.06243811729240687
mean_pooling, warm jacket, 1, 0.30000000000000004, Mens Rupal Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-mens-rupal-jacket-A1114304.html, 0.06253667756301944
mean_pooling, warm jacket, 1, 0.30000000000000004, T5 Cotton Duck Hat, https://www.cotswoldoutdoor.com/p/tilley-t5-cotton-duck-hat-A3412025.html, 0.0697966951881385
mean_pooling, warm jacket, 1, 0.30000000000000004, Square Sunglasses, https://www.cotswoldoutdoor.com/p/bloc-square-sunglasses-E5114335.html, 0.07072024423229176
mean_pooling, warm jacket, 1, 0.30000000000000004, Mens Stratos Jacket, https://www.cotswoldoutdoor.com/p/the-north-face-mens-stratos-jacket-A1113511.html, 0.07110363695709462
mean_pooling, warm jacket, 1, 0.30000000000000004, Womens Salvo Jacket, https://www.cotswoldoutdoor.com/p/rab-womens-salvo-jacket-A4514896.html, 0.07246441180402233
mean_pooling, warm jacket, 1, 0.30000000000000004, Girls Resolve Reflective Jacket, https://www.cotswoldoutdoor.com/p/the-north-face-girls-resolve-reflective-jacket-C2124064.html, 0.0730836262082033
mean_pooling, warm jacket, 1, 0.30000000000000004, Moreno Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-moreno-jacket-A4725227.html, 0.07344970391830402
mean_pooling, warm jacket, 1, 0.30000000000000004, Mens Crestview Jacket, https://www.cotswoldoutdoor.com/p/jack-wolfskin-mens-crestview-jacket-A1514136.html, 0.07404974209450887
mean_pooling, warm jacket, 1, 0.4, Mens Cornice III Jacket, https://www.cotswoldoutdoor.com/p/berghaus-mens-cornice-iii-jacket-A1113261.html, 0.05750626461602076
mean_pooling, warm jacket, 1, 0.4, Mens Rupal Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-mens-rupal-jacket-A1114304.html, 0.05863993051913743
mean_pooling, warm jacket, 1, 0.4, Switch Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-switch-jacket-A1724068.html, 0.06800644621314594
mean_pooling, warm jacket, 1, 0.4, Girls Resolve Reflective Jacket, https://www.cotswoldoutdoor.com/p/the-north-face-girls-resolve-reflective-jacket-C2124064.html, 0.06906359198369849
mean_pooling, warm jacket, 1, 0.4, Mens Stratos Jacket, https://www.cotswoldoutdoor.com/p/the-north-face-mens-stratos-jacket-A1113511.html, 0.07014287316720084
mean_pooling, warm jacket, 1, 0.4, T5 Cotton Duck Hat, https://www.cotswoldoutdoor.com/p/tilley-t5-cotton-duck-hat-A3412025.html, 0.07049847087511356
mean_pooling, warm jacket, 1, 0.4, Womens Salvo Jacket, https://www.cotswoldoutdoor.com/p/rab-womens-salvo-jacket-A4514896.html, 0.07120368209097633
mean_pooling, warm jacket, 1, 0.4, Womens Tokee Fleece Jacket, https://www.cotswoldoutdoor.com/p/jack-wolfskin-womens-tokee-fleece-jacket-A4725280.html, 0.07201252192575527
mean_pooling, warm jacket, 1, 0.4, Square Sunglasses, https://www.cotswoldoutdoor.com/p/bloc-square-sunglasses-E5114335.html, 0.07211619211670776
mean_pooling, warm jacket, 1, 0.4, Riser Sunglasses, https://www.cotswoldoutdoor.com/p/bloc-riser-sunglasses-E5115026.html, 0.07303907030945059
mean_pooling, warm jacket, 1, 0.5, Mens Cornice III Jacket, https://www.cotswoldoutdoor.com/p/berghaus-mens-cornice-iii-jacket-A1113261.html, 0.053798461889324856
mean_pooling, warm jacket, 1, 0.5, Mens Rupal Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-mens-rupal-jacket-A1114304.html, 0.05474318347525542
